DATE,NCRNSAXDCINQ
2004-04-01,7715700.0
2004-07-01,7731800.0
2004-10-01,8888100.0
2005-01-01,8964600.0
2005-04-01,8393200.0
2005-07-01,8532100.0
2005-10-01,9745400.0
2006-01-01,9521000.0
2006-04-01,9370300.0
2006-07-01,9133100.0
2006-10-01,10304100.0
2007-01-01,10185900.0
2007-04-01,10061600.0
2007-07-01,9939800.0
2007-10-01,11263700.0
2008-01-01,11390200.0
2008-04-01,10889400.0
2008-07-01,10631800.0
2008-10-01,12621700.0
2009-01-01,11791700.0
2009-04-01,11731900.0
2009-07-01,11814000.0
2009-10-01,13516100.0
2010-01-01,12726500.0
2010-04-01,12714200.0
2010-07-01,12804800.0
2010-10-01,14318000.0
2011-01-01,14039300.0
2011-04-01,14407700.0
2011-07-01,13844400.0
2011-10-01,14853100.0
2012-01-01,15683000.0
2012-04-01,14539800.0
2012-07-01,15111100.0
2012-10-01,15670200.0
2013-01-01,16212400.0
2013-04-01,15935600.0
2013-07-01,15786900.0
2013-10-01,16686000.0
2014-01-01,16963000.0
2014-04-01,16957300.0
2014-07-01,17204100.0
2014-10-01,17565500.0
2015-01-01,17941200.0
2015-04-01,18097800.0
2015-07-01,18484600.0
2015-10-01,19062500.0
2016-01-01,19497400.0
2016-04-01,19225700.0
2016-07-01,20016400.0
2016-10-01,21063400.0
2017-01-01,20712900.0
2017-04-01,21265300.0
2017-07-01,21073200.0
2017-10-01,22120300.0
2018-01-01,22296900.0
2018-04-01,22617400.0
2018-07-01,22863400.0
2018-10-01,23646900.0
2019-01-01,23726300.0
2019-04-01,23887300.0
2019-07-01,24248000.0
2019-10-01,25025300.0
2020-01-01,24317700.0
2020-04-01,19615600.0
2020-07-01,21675300.0
2020-10-01,25201700.0
2021-01-01,26534500.0
2021-04-01,22259100.0
2021-07-01,24683400.0
2021-10-01,27766600.0
2022-01-01,28079100.0
2022-04-01,25936000.0
2022-07-01,26305700.0
2022-10-01,28270300.0
2023-01-01,28848000.0
2023-04-01,27209000.0
2023-07-01,27436100.0
