DATE,NCRSAXDCIDQ
2008-01-01,1003286400.0
2008-04-01,1013714800.0
2008-07-01,1026511500.0
2008-10-01,1031452800.0
2009-01-01,1060824100.0
2009-04-01,1069951000.0
2009-07-01,1073679700.0
2009-10-01,1096951800.0
2010-01-01,1096305900.0
2010-04-01,1109034400.0
2010-07-01,1128103300.0
2010-10-01,1143556200.0
2011-01-01,1149195500.0
2011-04-01,1163242500.0
2011-07-01,1190035900.0
2011-10-01,1203896700.0
2012-01-01,1215753100.0
2012-04-01,1239658900.0
2012-07-01,1243682300.0
2012-10-01,1260430900.0
2013-01-01,1281041500.0
2013-04-01,1303083000.0
2013-07-01,1319748400.0
2013-10-01,1335974100.0
2014-01-01,1351361400.0
2014-04-01,1363151100.0
2014-07-01,1378787700.0
2014-10-01,1393421300.0
2015-01-01,1411494100.0
2015-04-01,1424695100.0
2015-07-01,1450513100.0
2015-10-01,1469126300.0
2016-01-01,1478104700.0
2016-04-01,1497038900.0
2016-07-01,1508328300.0
2016-10-01,1522503000.0
2017-01-01,1546195700.0
2017-04-01,1557979500.0
2017-07-01,1580603900.0
2017-10-01,1598270400.0
2018-01-01,1620571900.0
2018-04-01,1636758400.0
2018-07-01,1664188200.0
2018-10-01,1681784300.0
2019-01-01,1707946800.0
2019-04-01,1725702000.0
2019-07-01,1742774000.0
2019-10-01,1751967100.0
2020-01-01,1755681400.0
2020-04-01,1621722600.0
2020-07-01,1705166400.0
2020-10-01,1702105100.0
2021-01-01,1719769700.0
2021-04-01,1720903600.0
2021-07-01,1732534000.0
2021-10-01,1767109600.0
2022-01-01,1774629700.0
2022-04-01,1787791500.0
2022-07-01,1811582200.0
2022-10-01,1823158900.0
2023-01-01,1852686600.0
2023-04-01,1885182700.0
2023-07-01,1888297100.0
