,Indicator,Unit,Quarter,Fiscal Year,Real Growth Rate
0,"Real GDP at market prices, annual % growth",%,Q1,2024/2023,2.65
1,"Real GDP at market prices, annual % growth",%,Q4,2023/2022,2.9
2,"Real GDP at market prices, annual % growth",%,Q3,2023/2022,3.9
3,"Real GDP at market prices, annual % growth",%,Q2,2023/2022,3.9
4,"Real GDP at market prices, annual % growth",%,Q1,2023/2022,4.4
5,"Real GDP at market prices, annual % growth",%,Q4,2022/2021,3.3
6,"Real GDP at market prices, annual % growth",%,Q3,2022/2021,5.4
7,"Real GDP at market prices, annual % growth",%,Q2,2022/2021,8.3
8,"Real GDP at market prices, annual % growth",%,Q1,2022/2021,9.8
9,"Real GDP at market prices, annual % growth",%,Q4,2021/2020,7.7
10,"Real GDP at market prices, annual % growth",%,Q3,2021/2020,2.9
11,"Real GDP at market prices, annual % growth",%,Q2,2021/2020,2.0
12,"Real GDP at market prices, annual % growth",%,Q1,2021/2020,0.7
13,"Real GDP at market prices, annual % growth",%,Q4,2020/2019,-1.7
14,"Real GDP at market prices, annual % growth",%,Q3,2020/2019,5.0
15,"Real GDP at market prices, annual % growth",%,Q2,2020/2019,5.6
16,"Real GDP at market prices, annual % growth",%,Q1,2020/2019,5.6
17,"Real GDP at market prices, annual % growth",%,Q4,2019/2018,5.7
18,"Real GDP at market prices, annual % growth",%,Q3,2019/2018,5.62
19,"Real GDP at market prices, annual % growth",%,Q2,2019/2018,5.55
20,"Real GDP at market prices, annual % growth",%,Q1,2019/2018,5.35
21,"Real GDP at market prices, annual % growth",%,Q4,2018/2017,5.38
22,"Real GDP at market prices, annual % growth",%,Q3,2018/2017,5.4
23,"Real GDP at market prices, annual % growth",%,Q2,2018/2017,5.28
24,"Real GDP at market prices, annual % growth",%,Q1,2018/2017,5.18
25,"Real GDP at market prices, annual % growth",%,Q4,2017/2016,5.0
26,"Real GDP at market prices, annual % growth",%,Q3,2017/2016,4.42
27,"Real GDP at market prices, annual % growth",%,Q2,2017/2016,3.92
28,"Real GDP at market prices, annual % growth",%,Q1,2017/2016,3.42
29,"Real GDP at market prices, annual % growth",%,Q4,2016/2015,4.45
30,"Real GDP at market prices, annual % growth",%,Q3,2016/2015,3.71
31,"Real GDP at market prices, annual % growth",%,Q2,2016/2015,4.05
32,"Real GDP at market prices, annual % growth",%,Q1,2016/2015,5.12
33,"Real GDP at market prices, annual % growth",%,Q4,2015/2014,3.33
34,"Real GDP at market prices, annual % growth",%,Q3,2015/2014,3.27
35,"Real GDP at market prices, annual % growth",%,Q2,2015/2014,5.22
36,"Real GDP at market prices, annual % growth",%,Q1,2015/2014,5.63
37,"Real GDP at market prices, annual % growth",%,Q4,2014/2013,5.14
38,"Real GDP at market prices, annual % growth",%,Q3,2014/2013,3.46
39,"Real GDP at market prices, annual % growth",%,Q2,2014/2013,1.53
40,"Real GDP at market prices, annual % growth",%,Q1,2014/2013,1.61
41,"Real GDP at market prices, annual % growth",%,Q4,2013/2012,1.64
42,"Real GDP at market prices, annual % growth",%,Q3,2013/2012,1.96
43,"Real GDP at market prices, annual % growth",%,Q2,2013/2012,2.2
44,"Real GDP at market prices, annual % growth",%,Q1,2013/2012,2.92
45,"Real GDP at market prices, annual % growth",%,Q4,2012/2011,3.34
46,"Real GDP at market prices, annual % growth",%,Q3,2012/2011,5.2
47,"Real GDP at market prices, annual % growth",%,Q2,2012/2011,0.4
48,"Real GDP at market prices, annual % growth",%,Q1,2012/2011,0.26
49,"Real GDP at market prices, annual % growth",%,Q4,2011/2010,0.35
50,"Real GDP at market prices, annual % growth",%,Q3,2011/2010,-4.33
51,"Real GDP at market prices, annual % growth",%,Q2,2011/2010,5.62
52,"Real GDP at market prices, annual % growth",%,Q1,2011/2010,5.47
53,"Real GDP at market prices, annual % growth",%,Q4,2010/2009,5.39
54,"Real GDP at market prices, annual % growth",%,Q3,2010/2009,5.6
55,"Real GDP at market prices, annual % growth",%,Q2,2010/2009,4.97
56,"Real GDP at market prices, annual % growth",%,Q1,2010/2009,4.63
57,"Real GDP at market prices, annual % growth",%,Q4,2009/2008,4.61
58,"Real GDP at market prices, annual % growth",%,Q3,2009/2008,4.32
59,"Real GDP at market prices, annual % growth",%,Q2,2009/2008,4.11
60,"Real GDP at market prices, annual % growth",%,Q1,2009/2008,5.65
61,"Real GDP at market prices, annual % growth",%,Q4,2008/2007,7.02
62,"Real GDP at market prices, annual % growth",%,Q3,2008/2007,7.36
63,"Real GDP at market prices, annual % growth",%,Q2,2008/2007,7.59
64,"Real GDP at market prices, annual % growth",%,Q1,2008/2007,6.67
65,"Real GDP at market prices, annual % growth",%,Q4,2007/2006,7.57
66,"Real GDP at market prices, annual % growth",%,Q3,2007/2006,7.37
67,"Real GDP at market prices, annual % growth",%,Q2,2007/2006,6.51
68,"Real GDP at market prices, annual % growth",%,Q1,2007/2006,6.92
69,"Real GDP at market prices, annual % growth",%,Q4,2006/2005,7.77
70,"Real GDP at market prices, annual % growth",%,Q3,2006/2005,6.81
71,"Real GDP at market prices, annual % growth",%,Q2,2006/2005,6.76
72,"Real GDP at market prices, annual % growth",%,Q1,2006/2005,6.09
73,"Real GDP at market prices, annual % growth",%,Q4,2005/2004,4.93
74,"Real GDP at market prices, annual % growth",%,Q3,2005/2004,4.62
75,"Real GDP at market prices, annual % growth",%,Q2,2005/2004,4.47
76,"Real GDP at market prices, annual % growth",%,Q1,2005/2004,3.91
77,"Real GDP at market prices, annual % growth",%,Q4,2004/2003,3.98
78,"Real GDP at market prices, annual % growth",%,Q3,2004/2003,3.86
79,"Real GDP at market prices, annual % growth",%,Q2,2004/2003,4.25
80,"Real GDP at market prices, annual % growth",%,Q1,2004/2003,4.27
81,"Real GDP at market prices, annual % growth",%,Q4,2003/2002,3.24
82,"Real GDP at market prices, annual % growth",%,Q3,2003/2002,2.9
83,"Real GDP at market prices, annual % growth",%,Q2,2003/2002,3.32
84,"Real GDP at market prices, annual % growth",%,Q1,2003/2002,3.31
